Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/lgldlk/ComfyUI-FitDit,https://comfysearch.snomiao.dev/github.com/lgldlk/ComfyUI-FitDit,FitDiT/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile,https://comfysearch.snomiao.dev/github.com/lgldlk/ComfyUI-FitDit/-/blob/FitDiT/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile,,"[16, [[39, 43] [13, 17] [8, 12]]]"
content,github.com/lgldlk/ComfyUI-FitDit,https://comfysearch.snomiao.dev/github.com/lgldlk/ComfyUI-FitDit,FitDiT/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile-circleci,https://comfysearch.snomiao.dev/github.com/lgldlk/ComfyUI-FitDit/-/blob/FitDiT/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile-circleci,,"[7, [[42, 46] [13, 17] [8, 12]]]"
content,github.com/chflame163/ComfyUI_CatVTON_Wrapper,https://comfysearch.snomiao.dev/github.com/chflame163/ComfyUI_CatVTON_Wrapper,py/catvton/SCHP/mhp_extension/detectron2/docker/Dockerfile,https://comfysearch.snomiao.dev/github.com/chflame163/ComfyUI_CatVTON_Wrapper/-/blob/py/catvton/SCHP/mhp_extension/detectron2/docker/Dockerfile,,"[16, [[39, 43] [13, 17] [8, 12]]]"
content,github.com/chflame163/ComfyUI_CatVTON_Wrapper,https://comfysearch.snomiao.dev/github.com/chflame163/ComfyUI_CatVTON_Wrapper,py/catvton/SCHP/mhp_extension/detectron2/docker/Dockerfile-circleci,https://comfysearch.snomiao.dev/github.com/chflame163/ComfyUI_CatVTON_Wrapper/-/blob/py/catvton/SCHP/mhp_extension/detectron2/docker/Dockerfile-circleci,,"[7, [[42, 46] [13, 17] [8, 12]]]"
content,github.com/VangengLab/ComfyUI-LivePortrait_v3,https://comfysearch.snomiao.dev/github.com/VangengLab/ComfyUI-LivePortrait_v3,src/utils/dependencies/insightface/utils/filesystem.py,https://comfysearch.snomiao.dev/github.com/VangengLab/ComfyUI-LivePortrait_v3/-/blob/src/utils/dependencies/insightface/utils/filesystem.py,,"[120, [[17, 21]]]"
content,github.com/AIFSH/IMAGDressing-ComfyUI,https://comfysearch.snomiao.dev/github.com/AIFSH/IMAGDressing-ComfyUI,imagdressing/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile,https://comfysearch.snomiao.dev/github.com/AIFSH/IMAGDressing-ComfyUI/-/blob/imagdressing/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile,,"[16, [[39, 43] [13, 17] [8, 12]]]"
content,github.com/AIFSH/IMAGDressing-ComfyUI,https://comfysearch.snomiao.dev/github.com/AIFSH/IMAGDressing-ComfyUI,imagdressing/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile-circleci,https://comfysearch.snomiao.dev/github.com/AIFSH/IMAGDressing-ComfyUI/-/blob/imagdressing/preprocess/humanparsing/mhp_extension/detectron2/docker/Dockerfile-circleci,,"[7, [[42, 46] [13, 17] [8, 12]]]"
content,github.com/pzc163/Comfyui-CatVTON,https://comfysearch.snomiao.dev/github.com/pzc163/Comfyui-CatVTON,model/SCHP/mhp_extension/detectron2/docker/Dockerfile,https://comfysearch.snomiao.dev/github.com/pzc163/Comfyui-CatVTON/-/blob/model/SCHP/mhp_extension/detectron2/docker/Dockerfile,,"[16, [[39, 43] [13, 17] [8, 12]]]"
content,github.com/pzc163/Comfyui-CatVTON,https://comfysearch.snomiao.dev/github.com/pzc163/Comfyui-CatVTON,model/SCHP/mhp_extension/detectron2/docker/Dockerfile-circleci,https://comfysearch.snomiao.dev/github.com/pzc163/Comfyui-CatVTON/-/blob/model/SCHP/mhp_extension/detectron2/docker/Dockerfile-circleci,,"[7, [[42, 46] [13, 17] [8, 12]]]"
content,github.com/natto-maki/ComfyUI-NegiTools,https://comfysearch.snomiao.dev/github.com/natto-maki/ComfyUI-NegiTools,negi/repos/controlnet_aux/src/controlnet_aux/normalbae/nets/submodules/efficientnet_repo/README.md,https://comfysearch.snomiao.dev/github.com/natto-maki/ComfyUI-NegiTools/-/blob/negi/repos/controlnet_aux/src/controlnet_aux/normalbae/nets/submodules/efficientnet_repo/README.md,,"[268, [[34, 38]]]"
